,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
11172,Ansu Fati,Spain,Left Winger,FC Barcelona B,Spain,FC Barcelona,Spain,0.0,2020
11173,Arthur Melo,Brazil,Central Midfield,FC Barcelona,Spain,Juventus FC,Italy,80600000.0,2020
11174,Nélson Semedo,Portugal,Right-Back,FC Barcelona,Spain,Wolverhampton Wanderers,England,32000000.0,2020
11175,Carles Pérez,Spain,Right Winger,FC Barcelona,Spain,AS Roma,Italy,13000000.0,2020
11176,Marc Cucurella,Spain,Left-Back,FC Barcelona,Spain,Getafe CF,Spain,11800000.0,2020
11177,Luis Suárez,Uruguay,Centre-Forward,FC Barcelona,Spain,Atlético de Madrid,Spain,9000000.0,2020
11178,Ivan Rakitic,Croatia,Central Midfield,FC Barcelona,Spain,Sevilla FC,Spain,3500000.0,2020
11179,Rafinha,Brazil,Attacking Midfield,FC Barcelona,Spain,Paris Saint-Germain,France,1500000.0,2020
11180,Arturo Vidal,Chile,Central Midfield,FC Barcelona,Spain,Inter Milan,Italy,1000000.0,2020
11181,Arda Turan,Turkey,Left Winger,FC Barcelona,Spain,Galatasaray,Turkey,0.0,2020
11182,Álvaro Morata,Spain,Centre-Forward,Chelsea FC,England,Atlético de Madrid,Spain,35000000.0,2020
11183,Yannick Carrasco,Belgium,Left Winger,Dalian Professional,China,Atlético de Madrid,Spain,27000000.0,2020
11184,Geoffrey Kondogbia,Central African Republic,Defensive Midfield,Valencia CF,Spain,Atlético de Madrid,Spain,16000000.0,2020
11185,Luis Suárez,Uruguay,Centre-Forward,FC Barcelona,Spain,Atlético de Madrid,Spain,9000000.0,2020
11186,Ivo Grbic,Croatia,Goalkeeper,NK Lokomotiva Zagreb,Croatia,Atlético de Madrid,Spain,3500000.0,2020
11187,Rodrigo Riquelme,Spain,Left Winger,Atlético de Madrid B,Spain,Atlético de Madrid,Spain,0.0,2020
11188,Manu Sánchez,Spain,Left-Back,Atlético de Madrid B,Spain,Atlético de Madrid,Spain,0.0,2020
11189,Thomas Partey,Ghana,Defensive Midfield,Atlético de Madrid,Spain,Arsenal FC,England,50000000.0,2020
11190,Caio Henrique,Brazil,Left-Back,Atlético de Madrid,Spain,AS Monaco,France,8000000.0,2020
11191,Nikola Kalinic,Croatia,Centre-Forward,Atlético de Madrid,Spain,Hellas Verona,Italy,1800000.0,2020
11192,Antonio Adán,Spain,Goalkeeper,Atlético de Madrid,Spain,Sporting CP,Portugal,0.0,2020
11194,Suso,Spain,Right Winger,AC Milan,Italy,Sevilla FC,Spain,21700000.0,2020
11195,Óscar Rodríguez,Spain,Attacking Midfield,Real Madrid,Spain,Sevilla FC,Spain,13500000.0,2020
11196,Oussama Idrissi,Morocco,Left Winger,AZ Alkmaar,Netherlands,Sevilla FC,Spain,12000000.0,2020
11197,Marcos Acuña,Argentina,Left-Back,Sporting CP,Portugal,Sevilla FC,Spain,11250000.0,2020
11198,Papu Gómez,Argentina,Left Winger,Atalanta BC,Italy,Sevilla FC,Spain,6400000.0,2020
11199,Bono,Morocco,Goalkeeper,Girona FC,Spain,Sevilla FC,Spain,4000000.0,2020
11200,Ivan Rakitic,Croatia,Central Midfield,FC Barcelona,Spain,Sevilla FC,Spain,3500000.0,2020
11201,Karim Rekik,Netherlands,Centre-Back,Hertha BSC,Germany,Sevilla FC,Spain,2000000.0,2020
11202,Juan Berrocal,Spain,Centre-Back,Sevilla Atlético,Spain,Sevilla FC,Spain,0.0,2020
11203,José Alonso Lara,Spain,Left Winger,Sevilla Atlético,Spain,Sevilla FC,Spain,0.0,2020
11204,Carlos Fernández,Spain,Centre-Forward,Sevilla FC,Spain,Real Sociedad,Spain,10000000.0,2020
11205,Sergio Rico,Spain,Goalkeeper,Sevilla FC,Spain,Paris Saint-Germain,France,6000000.0,2020
11206,Simon Kjaer,Denmark,Centre-Back,Sevilla FC,Spain,AC Milan,Italy,3680000.0,2020
11207,Giorgi Aburjania,Georgia,Defensive Midfield,Sevilla FC,Spain,Real Oviedo,Spain,0.0,2020
11208,Éver Banega,Argentina,Central Midfield,Sevilla FC,Spain,Al-Shabab FC,Saudi Arabia,0.0,2020
11209,Roque Mesa,Spain,Central Midfield,Sevilla FC,Spain,Real Valladolid CF,Spain,0.0,2020
11210,Marc Gual,Spain,Centre-Forward,Sevilla FC,Spain,AD Alcorcón,Spain,?,2020
11212,Pervis Estupiñán,Ecuador,Left-Back,Watford FC,England,Villarreal CF,Spain,16399999.999999998,2020
